url,MRP,Price,Expected MRP,Expected Price
https://www.amazon.in/dp/B07PYT9FPX,450,183,MRP Matched,Price Matched
https://www.amazon.in/dp/B00GOO3B1Q,4770,4292,MRP Matched,4400
http://www.flipkart.com/haier-320-l-frost-free-double-door-refrigerator/p/itmehzkegcnghehv?pid=RFREHZKEWTFPSHSG,39500,39500,MRP Matched,Price Matched
https://www.amazon.in/Voltas-Inverter-Copper-183V-CZT/dp/B079Q9VNWQ/ref=sr_1_3?s=kitchen&ie=UTF8&qid=1545027548&sr=1-3&keywords=air+conditioner,55490,33000,58990,33490
https://www.amazon.in/Test-Exclusive-627/dp/B07HGMQX6N,15500,13999,MRP Matched,12999
http://www.flipkart.com/hitachi-1-ton-3-star-window-ac-white/p/itmdvgd4wbanxqcg?pid=ACNDVFJMHUBZGWJD,25190,25190,25364,25200
https://www.flipkart.com/philips-10000-mah-power-bank-dlp9001nb-dlp9001nb/p/itmfdqz7g9ue9hgc?pid=PWBFDQNEHQHZMGFU,1499,1499,1999,Price Matched
https://www.flipkart.com/sony-bravia-72-4cm-29-hd-ready-led-tv/p/itmeh9dckzxf446h?pid=TVSEH9DCAEDN55DU,22900,22900,23900,14999
https://www.flipkart.com/apple-iphone-8-plus-gold-64-gb/p/itmexrgvuzgzttzh?pid=MOBEXRGV7EHHTGUH,60499,60499,76000,76000
https://www.flipkart.com/kenstar-20-l-convection-microwave-oven/p/itmeh5fuyj5rh5ze?pid=MRCEH5FUA7QGPHQZ,9999,9999,12190,Price Matched
https://www.amazon.in/VivoBook-R3-2200-Windows-X505ZA-EJ492T/dp/B07N8CYP7T,39990,26490,MRP Matched,26990
https://www.amazon.in/dp/B01N6CB1ST,1700,1615,1780,1508
https://www.flipkart.com/samsung-galaxy-on8-black-16-gb/p/itmemvarprh8hegn?pid=MOBEMJRFZXZBESQW,13490,13490,MRP Matched,Price Matched
https://www.amazon.in/Redmi-Lunar-Red-32GB-Storage/dp/B07QS3VR5F,currently unavailable,
http://www.flipkart.com/panasonic-14-kg-semi-automatic-top-load-washing-machine-white-blue/p/itmf6b8tmkhcwgmd?pid=WMNF6B8T8VET6KXN,17050,17050,19649,17500
